uid,total_act_mins,variant_number
182,1859.0,0
183,21.0,0
184,6.0,0
185,1636.0,0
186,141.0,0
187,58.0,0
188,11.0,0
189,5.0,0
190,1807.0,0
191,790.0,0
192,54.0,0
193,46.0,0
194,38.0,0
195,35.0,0
197,618.0,0
198,30.0,0
199,2.0,0
200,289.0,0
201,66.0,0
202,12.0,0
203,5.0,0
204,130.0,0
205,47.0,0
206,64.0,0
207,563.0,0
208,4.0,0
209,517.0,0
210,442.0,0
211,45.0,0
212,675.0,0
213,6.0,0
214,162.0,0
215,81.0,0
216,4250.0,0
217,5.0,0
218,40.0,0
219,73.0,0
220,41.0,0
221,1733.0,0
222,8.0,0
223,30.0,0
224,13.0,0
225,2370.0,0
226,99.0,0
227,147.0,0
228,36.0,0
229,1275.0,0
231,211.0,0
232,546.0,0
233,15.0,0
234,366.0,0
235,2446.0,0
236,124.0,0
237,75.0,0
238,18.0,0
239,15.0,0
240,1.0,0
241,87.0,0
242,11.0,0
243,210.0,0
245,3.0,0
246,615.0,0
247,29.0,0
248,4181.0,0
250,175.0,0
251,734.0,0
252,20.0,0
253,2322.0,0
254,405.0,0
255,35.0,0
256,54.0,0
257,4.0,0
258,51.0,0
259,1.0,0
260,5.0,0
262,75.0,0
263,2866.0,0
264,63.0,0
265,22.0,0
266,10.0,0
267,9.0,0
268,567.0,0
269,61.0,0
270,27.0,0
271,94.0,0
272,3.0,0
273,544.0,0
274,166.0,0
275,2.0,0
276,5.0,0
277,98.0,0
278,184.0,0
279,138.0,0
280,516.0,0
281,392.0,0
282,429.0,0
283,208.0,0
286,20.0,0
287,4.0,0
288,22.0,0
289,44.0,0
290,108.0,0
292,40.0,0
293,2.0,0
294,48.0,0
295,19.0,0
296,5395.0,0
297,127.0,0
298,91.0,0
299,71.0,0
300,152.0,0
301,37.0,0
302,45.0,0
303,127.0,0
304,1149.0,0
305,17.0,0
306,90.0,0
307,60.0,0
308,45.0,0
309,37.0,0
310,109.0,0
311,1146.0,0
312,214.0,0
313,5.0,0
314,13.0,0
315,1871.0,0
316,105.0,0
317,622.0,0
318,7062.0,0
319,164.0,0
323,139.0,0
324,10.0,0
325,4.0,0
326,242.0,0
327,9.0,0
328,28.0,0
329,71.0,0
330,20.0,0
331,17.0,0
332,9.0,0
333,25.0,0
334,25.0,0
335,53.0,0
336,44.0,0
337,38.0,0
338,113.0,0
339,219.0,0
340,115.0,0
341,2.0,0
342,20.0,0
343,564.0,0
344,36.0,0
345,88.0,0
346,118.0,0
347,42.0,0
348,92.0,0
349,8.0,0
350,17.0,0
351,18.0,0
352,9.0,0
353,318.0,0
354,22.0,0
355,9.0,0
356,80.0,0
357,48.0,0
358,515.0,0
359,482.0,0
360,19.0,0
361,2000.0,0
362,16.0,0
363,104.0,0
364,2.0,0
365,786.0,0
366,3014.0,0
367,206.0,0
368,51.0,0
369,646.0,0
370,118.0,0
371,51.0,0
373,34.0,0
374,9.0,0
375,130.0,0
376,15.0,0
377,539.0,0
378,4144.0,0
379,156.0,0
380,16.0,0
382,3.0,0
383,68.0,0
384,12.0,0
385,88.0,0
386,46.0,0
387,8503.0,0
388,1055.0,0
389,1701.0,0
390,40.0,0
391,23.0,0
392,83.0,0
393,159.0,0
394,1032.0,0
395,14.0,0
396,9.0,0
397,372.0,0
398,76.0,0
399,10.0,0
400,198.0,0
401,391.0,0
402,194.0,0
404,30.0,0
405,207.0,0
406,64.0,0
407,64.0,0
408,8040.0,0
409,2.0,0
410,8490.0,0
411,316.0,0
412,55.0,0
413,68.0,0
414,87.0,0
415,18.0,0
416,53.0,0
417,2835.0,0
418,29.0,0
419,1.0,0
420,2534.0,0
421,146.0,0
422,376.0,0
423,1186.0,0
424,5549.0,0
425,5904.0,0
426,1.0,0
427,255.0,0
429,1386.0,0
430,11.0,0
431,2.0,0
432,2.0,0
433,23.0,0
434,32.0,0
435,21.0,0
436,104.0,0
437,26.0,0
438,149.0,0
439,7783.0,0
441,39.0,0
442,32.0,0
443,85.0,0
444,1.0,0
445,5337.0,0
446,10.0,0
447,49.0,0
448,1476.0,0
449,4.0,0
450,81.0,0
451,44.0,0
452,21.0,0
453,23.0,0
454,119.0,0
455,13.0,0
456,18.0,0
457,2881.0,0
458,71.0,0
459,18.0,0
460,7.0,0
461,46.0,0
462,39.0,0
463,15.0,0
464,215.0,0
465,13.0,0
466,5.0,0
467,454.0,0
469,588.0,0
470,51.0,0
471,4.0,0
472,36.0,0
473,107.0,0
474,54.0,0
475,24.0,0
476,9.0,0
477,125.0,0
478,57.0,0
479,359.0,0
480,202.0,0
481,25.0,0
482,5.0,0
483,25.0,0
484,37.0,0
485,23.0,0
486,179.0,0
487,11.0,0
488,19.0,0
489,4.0,0
490,26.0,0
491,67.0,0
492,111.0,0
493,434.0,0
494,196.0,0
495,34.0,0
496,129.0,0
497,166.0,0
498,15.0,0
499,50.0,0
500,22.0,0
501,5.0,0
502,11.0,0
503,3484.0,0
504,12.0,0
506,31.0,0
507,149.0,0
508,74.0,0
509,1.0,0
510,13.0,0
511,42.0,0
512,182.0,0
513,239.0,0
514,2471.0,0
515,789.0,0
516,62.0,0
517,20.0,0
518,16.0,0
519,1.0,0
520,173.0,0
521,4.0,0
522,38.0,0
523,46.0,0
525,5.0,0
526,9.0,0
527,63.0,0
528,15.0,0
529,41.0,0
530,90.0,0
531,193.0,0
532,26.0,0
533,25.0,0
534,59.0,0
535,110.0,0
536,46.0,0
537,230.0,0
538,341.0,0
539,4.0,0
540,3.0,0
541,747.0,0
542,277.0,0
543,875.0,0
544,5838.0,0
545,139.0,0
546,34.0,0
547,91.0,0
548,21594.0,0
549,130.0,0
550,507.0,0
551,31.0,0
552,3.0,0
553,354.0,0
554,27.0,0
555,37.0,0
556,7035.0,0
558,156.0,0
559,21.0,0
560,51.0,0
561,645.0,0
562,1.0,0
563,96.0,0
564,86.0,0
566,157.0,0
567,6.0,0
568,102.0,0
569,85.0,0
570,79.0,0
571,133.0,0
572,26.0,0
573,200.0,0
574,5.0,0
575,398.0,0
576,1.0,0
577,49.0,0
578,153.0,0
579,226.0,0
580,19.0,0
581,8.0,0
582,4.0,0
583,16.0,0
584,12.0,0
585,591.0,0
586,188.0,0
587,28.0,0
589,70.0,0
590,33.0,0
591,204.0,0
592,855.0,0
593,14.0,0
594,67.0,0
595,52.0,0
596,112.0,0
597,57.0,0
598,18.0,0
599,61.0,0
600,10.0,0
601,16.0,0
602,9.0,0
603,76.0,0
605,207.0,0
606,293.0,0
607,111.0,0
608,826.0,0
609,3.0,0
610,151.0,0
611,81.0,0
612,107.0,0
613,14.0,0
614,63.0,0
616,5.0,0
617,132.0,0
618,83.0,0
619,4.0,0
620,180.0,0
621,233.0,0
622,3732.0,0
623,224.0,0
624,84.0,0
625,4.0,0
626,11.0,0
628,32.0,0
629,6.0,0
630,5.0,0
631,59.0,0
632,43.0,0
633,136.0,0
635,40.0,0
636,32.0,0
637,200.0,0
638,234.0,0
639,162.0,0
640,14.0,0
641,384.0,0
642,12.0,0
643,8.0,0
644,21.0,0
646,7.0,0
647,35.0,0
648,13.0,0
649,59.0,0
650,10.0,0
651,4.0,0
652,23.0,0
655,26.0,0
656,3.0,0
657,30.0,0
658,20.0,0
659,49.0,0
660,2771.0,0
662,144.0,0
663,70.0,0
664,12.0,0
665,471.0,0
666,28.0,0
667,35.0,0
668,5429.0,0
669,32.0,0
670,5.0,0
671,3.0,0
672,61.0,0
673,179.0,0
674,5768.0,0
675,38.0,0
676,244.0,0
677,128.0,0
678,151.0,0
679,73.0,0
680,25.0,0
681,54.0,0
682,126.0,0
683,13376.0,0
684,11.0,0
685,36.0,0
686,162.0,0
687,111.0,0
688,80.0,0
689,43.0,0
690,101.0,0
691,103.0,0
692,1167.0,0
693,170.0,0
694,10.0,0
695,2.0,0
697,142.0,0
698,756.0,0
699,342.0,0
700,7.0,0
701,23.0,0
702,26.0,0
703,13.0,0
704,9.0,0
705,90.0,0
706,4.0,0
707,1370.0,0
708,63.0,0
709,388.0,0
710,121.0,0
711,35.0,0
712,6.0,0
713,778.0,0
714,369.0,0
715,27.0,0
716,25.0,0
717,1.0,0
718,21.0,0
719,7.0,0
721,354.0,0
722,121.0,0
723,23.0,0
724,164.0,0
725,30.0,0
726,76.0,0
727,14.0,0
728,6.0,0
729,53.0,0
730,16.0,0
731,33.0,0
732,926.0,0
733,852.0,0
734,27.0,0
735,149.0,0
736,107.0,0
737,18.0,0
738,1932.0,0
739,989.0,0
740,256.0,0
741,92.0,0
742,54.0,0
743,1269.0,0
745,135.0,0
746,3.0,0
747,302.0,0
748,42.0,0
750,16.0,0
751,9.0,0
752,40.0,0
753,42.0,0
754,16.0,0
755,42.0,0
757,408.0,0
758,87.0,0
759,293.0,0
760,106.0,0
761,38.0,0
762,10.0,0
763,18.0,0
764,2.0,0
765,918.0,0
766,4233.0,0
767,169.0,0
768,342.0,0
769,61.0,0
770,35.0,0
771,222.0,0
772,275.0,0
773,639.0,0
774,745.0,0
775,37.0,0
776,552.0,0
777,51.0,0
778,28.0,0
779,2.0,0
780,3.0,0
781,50.0,0
782,64.0,0
783,52.0,0
784,75.0,0
785,34.0,0
786,31.0,0
787,55.0,0
788,78.0,0
789,43.0,0
790,20.0,0
791,1.0,0
792,407.0,0
793,99.0,0
794,12.0,0
795,91.0,0
796,17.0,0
797,55.0,0
798,2.0,0
799,463.0,0
800,12.0,0
801,32.0,0
802,29.0,0
803,186.0,0
804,2.0,0
806,8.0,0
807,21.0,0
808,16.0,0
809,49.0,0
810,22.0,0
811,25.0,0
812,1878.0,0
813,36.0,0
814,87.0,0
815,1079.0,0
816,149.0,0
817,4.0,0
818,13.0,0
819,2.0,0
820,299.0,0
821,4.0,0
822,27.0,0
823,1.0,0
824,51.0,0
825,36.0,0
826,47.0,0
827,382.0,0
828,2.0,0
829,5.0,0
830,484.0,0
831,112.0,0
832,200.0,0
833,37.0,0
834,200.0,0
835,23.0,0
836,132.0,0
837,681.0,0
838,44.0,0
839,197.0,0
841,78.0,0
842,27.0,0
843,468.0,0
844,2.0,0
845,204.0,0
846,32.0,0
847,80.0,0
848,397.0,0
849,122.0,0
850,5201.0,0
851,12.0,0
852,23.0,0
855,39.0,0
858,4.0,0
859,10.0,0
861,5.0,0
862,18.0,0
863,61.0,0
864,37.0,0
865,127.0,0
866,10.0,0
867,39.0,0
868,1.0,0
869,121.0,0
871,4385.0,0
872,8.0,0
873,3.0,0
874,22.0,0
875,8.0,0
876,27.0,0
877,31.0,0
878,74.0,0
879,71.0,0
880,112.0,0
881,18.0,0
882,318.0,0
883,27.0,0
884,4279.0,0
885,11.0,0
886,278.0,0
887,11.0,0
888,21.0,0
889,1741.0,0
890,34.0,0
891,113.0,0
892,4.0,0
893,124.0,0
894,43.0,0
896,2.0,0
897,882.0,0
898,67.0,0
899,15.0,0
900,210.0,0
901,3.0,0
902,21.0,0
903,55.0,0
904,42.0,0
905,32.0,0
906,74.0,0
907,1758.0,0
908,3.0,0
910,12.0,0
911,168.0,0
912,59.0,0
913,221.0,0
914,42.0,0
915,128.0,0
916,1039.0,0
918,7.0,0
919,20.0,0
920,57.0,0
921,2.0,0
922,1.0,0
923,79.0,0
924,823.0,0
925,461.0,0
926,40.0,0
927,24.0,0
928,72.0,0
930,242.0,0
931,18.0,0
932,128.0,0
933,37.0,0
934,59.0,0
935,5.0,0
936,6.0,0
937,298.0,0
938,3.0,0
939,10719.0,0
941,31.0,0
942,203.0,0
943,236.0,0
945,23.0,0
946,50.0,0
947,300.0,0
948,4.0,0
950,15.0,0
951,394.0,0
952,230.0,0
953,238.0,0
954,16.0,0
955,15.0,0
956,29.0,0
957,178.0,0
958,45.0,0
959,10.0,0
960,16.0,0
961,156.0,0
962,18.0,0
963,80.0,0
964,57.0,0
965,48.0,0
967,138.0,0
968,150.0,0
970,10.0,0
971,369.0,0
972,18.0,0
973,28.0,0
974,36.0,0
975,1658.0,0
976,362.0,0
977,112.0,0
978,103.0,0
979,16.0,0
980,9.0,0
981,1053.0,0
982,211.0,0
983,488.0,0
984,88.0,0
985,8.0,0
986,19.0,0
987,6.0,0
988,38.0,0
989,126.0,0
990,722.0,0
991,8.0,0
992,38.0,0
993,11.0,0
994,11.0,0
995,1.0,0
996,317.0,0
997,267.0,0
998,49.0,0
999,68.0,0
1001,5.0,0
1002,1.0,0
1003,78.0,0
1004,116.0,0
1006,4.0,0
1007,116.0,0
1008,24.0,0
1009,15.0,0
1010,899.0,0
1011,2.0,0
1012,9.0,0
1013,81.0,0
1014,213.0,0
1015,152.0,0
1016,11.0,0
1017,16.0,0
1018,11.0,0
1019,11.0,0
1020,15.0,0
1021,1068.0,0
1022,91.0,0
1023,1548.0,0
1024,33.0,0
1025,99.0,0
1026,53.0,0
1027,94.0,0
1028,824.0,0
1029,2473.0,0
1030,1188.0,0
1031,158.0,0
1032,5.0,0
1033,65.0,0
1034,88.0,0
1035,2133.0,0
1036,2858.0,0
1037,362.0,0
1038,18.0,0
1039,2105.0,0
1040,27.0,0
1041,1064.0,0
1042,735.0,0
1043,90.0,0
1044,172.0,0
1045,268.0,0
1046,11.0,0
1047,3909.0,0
1048,33.0,0
1049,390.0,0
1051,20.0,0
1052,20.0,0
1053,3614.0,0
1054,29.0,0
1055,8.0,0
1056,4.0,0
1057,170.0,0
1058,12.0,0
1059,214.0,0
1060,76.0,0
1061,91.0,0
1062,1046.0,0
1063,203.0,0
1064,124.0,0
1065,516.0,0
1066,2.0,0
1068,3.0,0
1069,545.0,0
1070,226.0,0
1072,193.0,0
1073,1476.0,0
1074,2.0,0
1075,90.0,0
1076,12.0,0
1077,1052.0,0
1078,5.0,0
1079,6.0,0
1080,6344.0,0
1081,2657.0,0
1082,25.0,0
1083,13.0,0
1084,59.0,0
1085,9.0,0
1086,173.0,0
1088,71.0,0
1089,8.0,0
1090,49.0,0
1091,4.0,0
1092,4.0,0
1093,471.0,0
1094,20.0,0
1095,31.0,0
1096,146.0,0
1097,11.0,0
1098,66.0,0
1099,20.0,0
1100,8.0,0
1101,6.0,0
1102,111.0,0
1103,15.0,0
1104,3.0,0
1105,22.0,0
1106,713.0,0
1107,221.0,0
1108,13.0,0
1109,259.0,0
1110,111.0,0
1111,22.0,0
1112,8.0,0
1113,2.0,0
1114,113.0,0
1115,2285.0,0
1116,3.0,0
1117,4554.0,0
1118,86.0,0
1119,34.0,0
1120,378.0,0
1121,15.0,0
1122,27.0,0
1123,225.0,0
1124,653.0,0
1125,110.0,0
1126,10.0,0
1127,11.0,0
1128,2174.0,0
1129,25.0,0
1130,231.0,0
1131,10.0,0
1132,41.0,0
1133,15.0,0
1135,18.0,0
1136,20.0,0
1137,36.0,0
1138,405.0,0
1139,33.0,0
1140,210.0,0
1141,9.0,0
1142,2700.0,0
1143,8.0,0
1144,32.0,0
1145,6.0,0
1146,1.0,0
1147,4368.0,0
1148,91.0,0
1149,367.0,0
1150,53.0,0
1151,1.0,0
1152,47.0,0
1153,90.0,0
1154,36.0,0
1155,64.0,0
1156,15.0,0
1158,282.0,0
1159,146.0,0
1160,18.0,0
1161,5767.0,0
1162,2.0,0
1163,115.0,0
1164,37.0,0
1165,21.0,0
1166,162.0,0
1167,8776.0,0
1168,1.0,0
1169,6752.0,0
1170,16.0,0
1171,52.0,0
1172,191.0,0
1173,20.0,0
1174,5.0,0
1175,176.0,0
1176,19.0,0
1177,2477.0,0
1178,883.0,0
1179,389.0,0
1181,61.0,0
1182,151.0,0
1183,339.0,0
1184,3.0,0
1185,37.0,0
1186,255.0,0
1187,134.0,0
1188,1190.0,0
1189,54.0,0
1190,5.0,0
1191,30.0,0
1193,3.0,0
1194,156.0,0
1195,17.0,0
1196,78.0,0
1198,8.0,0
1199,19.0,0
1200,21.0,0
1201,3.0,0
1202,1131.0,0
1203,58.0,0
1204,60.0,0
1206,1591.0,0
1207,72.0,0
1208,24.0,0
1209,14.0,0
1211,5.0,0
1212,1.0,0
1213,7.0,0
1214,20.0,0
1215,25.0,0
1216,253.0,0
1217,3.0,0
1218,23.0,0
1219,120583.0,0
1220,4.0,0
1221,368.0,0
1222,16.0,0
1223,71.0,0
1224,122.0,0
1225,2473.0,0
1226,67.0,0
1227,42.0,0
1229,10707.0,0
1230,11.0,0
1231,61.0,0
1233,298.0,0
1234,71.0,0
1235,9.0,0
1236,11.0,0
1237,3.0,0
1239,16.0,0
1240,198.0,0
1241,730.0,0
1242,153.0,0
1243,22.0,0
1244,106.0,0
1245,1.0,0
1246,9.0,0
1247,94.0,0
1248,41.0,0
1249,815.0,0
1250,26.0,0
1251,15.0,0
1252,3280.0,0
1253,658.0,0
1254,158.0,0
1255,2397.0,0
1256,790.0,0
1257,4.0,0
1258,18.0,0
1259,49.0,0
1260,1258.0,0
1261,194.0,0
1263,133.0,0
1264,65.0,0
1265,3866.0,0
1267,2.0,0
1268,8.0,0
1269,41.0,0
1270,58.0,0
1271,615.0,0
1272,2574.0,0
1273,513.0,0
1274,69.0,0
1275,403.0,0
1276,172.0,0
1277,322.0,0
1278,5.0,0
1279,4.0,0
1280,69.0,0
1281,24.0,0
1283,229.0,0
1285,3767.0,0
1286,66.0,0
1287,19.0,0
1288,131.0,0
1289,59.0,0
1290,36.0,0
1291,148.0,0
1293,626.0,0
1294,62.0,0
1295,6485.0,0
1296,4.0,0
1297,5.0,0
1298,65.0,0
1299,719.0,0
1301,152.0,0
1303,7.0,0
1304,26.0,0
1305,187.0,0
1306,2.0,0
1307,32.0,0
1308,1396.0,0
1309,11.0,0
1310,22.0,0
1311,5.0,0
1312,30.0,0
1313,3901.0,0
1314,129.0,0
1315,40.0,0
1316,18.0,0
1318,115.0,0
1319,54.0,0
1320,3.0,0
1321,240.0,0
1322,14.0,0
1323,48.0,0
1324,24.0,0
1325,76.0,0
1326,60.0,0
1327,72.0,0
1328,2213.0,0
1329,514.0,0
1330,938.0,0
1331,8.0,0
1332,23.0,0
1333,3172.0,0
1334,6847.0,0
1335,1590.0,0
1337,101.0,0
1338,2455.0,0
1339,178.0,0
1341,47.0,0
1342,30.0,0
1343,1938.0,0
1344,8.0,0
1345,33.0,0
1346,31.0,0
1347,4.0,0
1349,124.0,0
1350,10.0,0
1351,41.0,0
1352,15.0,0
1353,1425.0,0
1354,9.0,0
1355,396.0,0
1356,4.0,0
1357,47.0,0
1358,146.0,0
1359,178.0,0
1360,5.0,0
1361,22.0,0
1362,89.0,0
1363,33.0,0
1364,24.0,0
1365,116.0,0
1366,15.0,0
1368,40.0,0
1369,21.0,0
1370,22.0,0
1371,17.0,0
1372,98.0,0
1373,33.0,0
1374,50.0,0
1375,6275.0,0
1376,3.0,0
1377,14.0,0
1378,219.0,0
1379,12.0,0
1380,141.0,0
1381,4.0,0
1382,241.0,0
1383,345.0,0
1384,37.0,0
1385,14.0,0
1386,66.0,0
1387,63.0,0
1388,32.0,0
1389,2609.0,0
1390,288.0,0
1391,33.0,0
1392,3.0,0
1393,14.0,0
1394,694.0,0
1395,24.0,0
1396,391.0,0
1397,20.0,0
1398,1693.0,0
1399,12.0,0
1400,5.0,0
1401,32.0,0
1402,17.0,0
1403,39.0,0
1404,2.0,0
1405,28.0,0
1406,1.0,0
1407,8.0,0
1408,30.0,0
1409,21.0,0
1410,149.0,0
1411,5.0,0
1412,271.0,0
1413,2.0,0
1414,7876.0,0
1415,29.0,0
1416,34.0,0
1417,2576.0,0
1418,163.0,0
1419,67.0,0
1420,24.0,0
1421,173.0,0
1422,339.0,0
1423,19.0,0
1424,275.0,0
1425,2429.0,0
1426,2825.0,0
1427,44.0,0
1428,1.0,0
1429,485.0,0
1430,46.0,0
1431,33.0,0
1432,295.0,0
1433,126.0,0
1434,2054.0,0
1435,34.0,0
1436,20.0,0
1437,63.0,0
1438,786.0,0
1439,36.0,0
1440,4.0,0
1441,44.0,0
1442,11.0,0
1443,2.0,0
1444,524.0,0
1445,63.0,0
1446,25.0,0
1447,1735.0,0
1449,47.0,0
1450,2244.0,0
1451,4094.0,0
1452,388.0,0
1453,30.0,0
1455,401.0,0
1456,272.0,0
1457,11.0,0
1458,77.0,0
1459,2715.0,0
1460,1.0,0
1461,42.0,0
1462,1185.0,0
1463,95.0,0
1464,460.0,0
1465,873.0,0
1466,18.0,0
1467,12.0,0
1468,11.0,0
1469,38.0,0
1470,124.0,0
1471,71.0,0
1472,7216.0,0
1473,14.0,0
1474,4.0,0
1475,375.0,0
1476,18.0,0
1477,10.0,0
1478,27.0,0
1479,756.0,0
1480,3.0,0
1481,67.0,0
1482,20.0,0
1483,281.0,0
1484,2201.0,0
1485,36.0,0
1486,8.0,0
1487,70.0,0
1488,77.0,0
1489,65.0,0
1490,119.0,0
1491,8.0,0
1492,50.0,0
1493,259.0,0
1494,12.0,0
1495,3598.0,0
1496,7.0,0
1497,51.0,0
1498,46.0,0
1499,13.0,0
1500,1281.0,0
1501,16.0,0
1502,34.0,0
1503,26.0,0
1504,99.0,0
1505,13.0,0
1506,11.0,0
1507,263.0,0
1508,32.0,0
1509,49.0,0
1510,129.0,0
1511,174.0,0
1512,1645.0,0
1513,259.0,0
1514,27.0,0
1515,77.0,0
1516,57.0,0
1517,8.0,0
1518,10.0,0
1519,9.0,0
1520,17.0,0
1521,14.0,0
1522,50.0,0
1523,8.0,0
1525,10.0,0
1526,33.0,0
1527,13.0,0
1528,55.0,0
1529,25.0,0
1531,96.0,0
1532,131.0,0
1533,26.0,0
1534,59.0,0
1535,135.0,0
1536,7.0,0
1537,50.0,0
1538,2.0,0
1539,4.0,0
1540,5.0,0
1541,103.0,0
1543,705.0,0
1544,69.0,0
1545,31.0,0
1546,121.0,0
1547,8.0,0
1548,187.0,0
1549,1.0,0
1550,121.0,0
1552,54.0,0
1555,24.0,0
1556,605.0,0
1557,25.0,0
1558,182.0,0
1559,41.0,0
1560,1.0,0
1561,41.0,0
1562,171.0,0
1563,60.0,0
1564,30.0,0
1565,279.0,0
1566,21.0,0
1567,965.0,0
1568,24.0,0
1569,78.0,0
1570,59.0,0
1571,10.0,0
1572,15.0,0
1573,72.0,0
1574,8.0,0
1575,93.0,0
1576,21.0,0
1577,39.0,0
1578,179.0,0
1580,108.0,0
1581,24.0,0
1582,12.0,0
1583,715.0,0
1584,17.0,0
1585,273.0,0
1586,28.0,0
1587,103.0,0
1588,88.0,0
1589,541.0,0
1590,294.0,0
1591,10.0,0
1592,88.0,0
1593,109.0,0
1594,11.0,0
1595,660.0,0
1596,20.0,0
1597,527.0,0
1598,42.0,0
1599,160.0,0
1600,157.0,0
1601,24.0,0
1602,1150.0,0
1603,36.0,0
1604,1242.0,0
1605,556.0,0
1606,3061.0,0
1609,194.0,0
1610,94.0,0
1611,109.0,0
1612,56.0,0
1613,146.0,0
1614,43.0,0
1615,21.0,0
1616,160.0,0
1617,37.0,0
1618,295.0,0
1619,47.0,0
1620,314.0,0
1621,57.0,0
1622,60.0,0
1623,115.0,0
1624,3.0,0
1625,69.0,0
1626,800.0,0
1627,86.0,0
1628,4.0,0
1629,28.0,0
1630,287.0,0
1631,5.0,0
1632,150.0,0
1633,281.0,0
1634,5.0,0
1635,224.0,0
1636,31.0,0
1637,59.0,0
1638,1.0,0
1639,15.0,0
1640,8736.0,0
1641,108.0,0
1642,22.0,0
1643,85.0,0
1644,127.0,0
1645,24.0,0
1646,89.0,0
1647,121.0,0
1648,16.0,0
1649,2.0,0
1650,16.0,0
1651,20.0,0
1652,58.0,0
1653,80.0,0
1654,885.0,0
1655,205.0,0
1656,6.0,0
1657,93.0,0
1658,30.0,0
1660,73.0,0
1661,451.0,0
1663,5.0,0
1664,45.0,0
1665,19.0,0
1666,679.0,0
1667,655.0,0
1668,7.0,0
1669,29.0,0
1670,255.0,0
1672,17.0,0
1673,219.0,0
1674,10.0,0
1675,1223.0,0
1676,62.0,0
1677,135.0,0
1678,7.0,0
1680,95.0,0
1681,94.0,0
1682,93.0,0
1683,28.0,0
1684,1.0,0
1685,70.0,0
1686,21.0,0
1687,293.0,0
1688,336.0,0
1689,30.0,0
1690,58.0,0
1691,59.0,0
1692,89.0,0
1693,1.0,0
1694,103.0,0
1695,35.0,0
1696,50.0,0
1697,10.0,0
1698,29.0,0
1699,96.0,0
1700,7.0,0
1701,69.0,0
1702,2162.0,0
1703,468.0,0
1704,33.0,0
1705,307.0,0
1706,86.0,0
1707,16.0,0
1709,418.0,0
1710,58.0,0
1711,70.0,0
1712,54.0,0
1713,20.0,0
1714,155.0,0
1716,2.0,0
1717,97.0,0
1718,31.0,0
1719,3.0,0
1720,18.0,0
1721,3663.0,0
1722,143.0,0
1723,522.0,0
1725,372.0,0
1726,78.0,0
1727,3.0,0
1728,6.0,0
1729,42.0,0
1730,29.0,0
1732,223.0,0
1733,620.0,0
1734,138.0,0
1735,35.0,0
1736,4.0,0
1737,90.0,0
1738,119167.0,0
1739,4.0,0
1740,6.0,0
1741,4.0,0
1742,5.0,0
1743,4.0,0
1744,939.0,0
1745,279.0,0
1746,68.0,0
1747,26.0,0
1748,29.0,0
1749,1.0,0
1750,4.0,0
1751,45.0,0
