uid,total_act_mins_post,variant_number,total_act_mins_pre,gender,user_type
87,47.0,0,15.0,male,non_reader
88,160.0,0,20.0,female,non_reader
89,345.0,0,652.0,male,reader
90,20.0,0,12.0,female,non_reader
91,45.0,0,23.0,male,non_reader
92,119.0,0,42.0,female,non_reader
93,54.0,0,12.0,unknown,non_reader
95,3.0,0,25.0,female,non_reader
96,50.0,0,411.0,female,non_reader
97,18.0,0,49.0,male,non_reader
99,453.0,0,387.0,male,reader
100,33.0,0,106.0,male,non_reader
101,1222.0,0,1414.0,male,contributor
102,20.0,0,24.0,male,non_reader
103,512.0,0,556.0,male,non_reader
105,34.0,0,19.0,unknown,non_reader
106,216.0,0,241.0,male,non_reader
107,46.0,0,94.0,male,non_reader
108,6.0,0,35.0,male,non_reader
109,186.0,0,157.0,male,non_reader
110,33.0,0,27.0,male,non_reader
112,447.0,0,452.0,male,reader
113,1.0,0,3.0,female,non_reader
114,13.0,0,9.0,male,non_reader
115,3.0,0,70.0,female,non_reader
116,173.0,0,36.0,male,non_reader
117,48.0,0,12.0,male,non_reader
118,20.0,0,8.0,male,non_reader
119,140.0,0,270.0,male,non_reader
120,290.0,0,184.0,male,reader
121,87.0,0,102.0,male,non_reader
122,203.0,0,14.0,female,non_reader
123,11645.0,0,16695.0,male,contributor
124,59.0,0,78.0,unknown,non_reader
125,6.0,0,35.0,male,non_reader
127,38.0,0,42.0,male,non_reader
128,6.0,0,95.0,female,non_reader
129,14.0,0,33.0,male,non_reader
130,14.0,0,83.0,male,non_reader
131,2.0,0,15.0,male,non_reader
132,86.0,0,9.0,female,new_user
133,11.0,0,1.0,unknown,new_user
134,102.0,0,180.0,female,non_reader
136,12.0,0,111.0,unknown,non_reader
137,3.0,0,2.0,female,new_user
138,3.0,0,10.0,male,non_reader
139,51.0,0,215.0,male,non_reader
140,31.0,0,40.0,male,non_reader
141,82.0,0,124.0,male,non_reader
142,307.0,0,141.0,male,non_reader
143,42.0,0,9.0,male,non_reader
144,4831.0,0,12471.0,male,reader
145,29.0,0,5.0,male,non_reader
146,1991.0,0,4068.0,male,reader
147,9.0,0,7.0,male,non_reader
148,22.0,0,0.0,female,non_reader
149,1578.0,0,1486.0,male,reader
150,927.0,0,1477.0,unknown,reader
151,3139.0,0,2274.0,male,reader
152,194.0,0,133.0,male,non_reader
154,80.0,0,50.0,unknown,non_reader
156,540.0,0,802.0,male,reader
157,44.0,0,28.0,male,non_reader
158,12.0,0,57.0,female,non_reader
159,13.0,0,9.0,female,non_reader
160,5.0,0,8.0,unknown,non_reader
161,4.0,0,13.0,unknown,non_reader
162,88.0,0,96.0,male,non_reader
163,159.0,0,60.0,female,non_reader
164,171.0,0,244.0,male,non_reader
165,6.0,0,13.0,male,non_reader
166,8.0,0,7.0,female,non_reader
167,17.0,0,19.0,male,non_reader
170,15.0,0,184.0,unknown,reader
171,4.0,0,25.0,female,non_reader
172,15.0,0,23.0,male,non_reader
173,24.0,0,31.0,female,non_reader
174,2220.0,0,201.0,male,non_reader
175,102.0,0,79.0,female,non_reader
176,61.0,0,50.0,male,non_reader
177,30.0,0,35.0,female,non_reader
178,64.0,0,72.0,female,non_reader
179,48.0,0,74.0,male,non_reader
180,638.0,0,155.0,male,non_reader
181,4.0,0,17.0,unknown,non_reader
182,1859.0,0,2240.0,female,reader
183,21.0,0,2.0,female,non_reader
184,6.0,0,36.0,male,non_reader
185,1636.0,0,909.0,male,contributor
186,141.0,0,414.0,male,reader
187,58.0,0,35.0,female,non_reader
188,11.0,0,15.0,female,non_reader
189,5.0,0,1.0,unknown,new_user
190,1807.0,0,1285.0,female,reader
191,790.0,0,534.0,male,reader
192,54.0,0,104.0,male,non_reader
193,46.0,0,65.0,female,non_reader
194,38.0,0,49.0,male,non_reader
195,35.0,0,50.0,female,non_reader
197,618.0,0,82.0,unknown,non_reader
198,30.0,0,39.0,male,non_reader
199,2.0,0,16.0,male,non_reader
200,289.0,0,461.0,male,non_reader
201,66.0,0,79.0,male,non_reader
202,12.0,0,27.0,male,non_reader
203,5.0,0,18.0,female,non_reader
204,130.0,0,157.0,female,non_reader
205,47.0,0,4.0,male,new_user
206,64.0,0,56.0,unknown,non_reader
207,563.0,0,678.0,male,non_reader
208,4.0,0,0.0,male,non_reader
209,517.0,0,1624.0,male,reader
210,442.0,0,495.0,male,reader
211,45.0,0,20.0,female,non_reader
212,675.0,0,751.0,male,reader
213,6.0,0,0.0,female,new_user
214,162.0,0,450.0,female,reader
215,81.0,0,59.0,male,non_reader
216,4250.0,0,934.0,male,reader
217,5.0,0,3.0,female,non_reader
218,40.0,0,66.0,male,non_reader
219,73.0,0,158.0,female,reader
220,41.0,0,35.0,male,non_reader
221,1733.0,0,682.0,male,non_reader
222,8.0,0,14.0,male,non_reader
223,30.0,0,24.0,male,non_reader
224,13.0,0,18.0,male,non_reader
225,2370.0,0,2768.0,male,reader
226,99.0,0,61.0,male,non_reader
227,147.0,0,149.0,male,non_reader
228,36.0,0,63.0,unknown,non_reader
229,1275.0,0,1570.0,male,reader
231,211.0,0,215.0,male,non_reader
232,546.0,0,269.0,unknown,non_reader
233,15.0,0,32.0,male,non_reader
234,366.0,0,1080.0,female,reader
235,2446.0,0,158.0,female,reader
236,124.0,0,233.0,male,non_reader
237,75.0,0,76.0,male,non_reader
238,18.0,0,36.0,male,non_reader
239,15.0,0,14.0,male,non_reader
240,1.0,0,2.0,male,new_user
241,87.0,0,310.0,male,non_reader
242,11.0,0,41.0,male,non_reader
243,210.0,0,352.0,female,reader
245,3.0,0,12.0,male,non_reader
246,615.0,0,1147.0,female,reader
247,29.0,0,25.0,male,non_reader
248,4181.0,0,502.0,male,reader
250,175.0,0,202.0,female,non_reader
251,734.0,0,586.0,female,reader
252,20.0,0,19.0,unknown,non_reader
253,2322.0,0,2069.0,female,reader
254,405.0,0,400.0,male,non_reader
255,35.0,0,118.0,male,non_reader
256,54.0,0,81.0,female,non_reader
257,4.0,0,33.0,male,non_reader
258,51.0,0,96.0,female,reader
259,1.0,0,25.0,female,non_reader
260,5.0,0,426.0,male,non_reader
262,75.0,0,63.0,male,reader
263,2866.0,0,3920.0,male,contributor
264,63.0,0,65.0,male,non_reader
265,22.0,0,8.0,unknown,non_reader
266,10.0,0,4.0,male,new_user
267,9.0,0,15.0,female,non_reader
268,567.0,0,464.0,male,non_reader
269,61.0,0,35.0,unknown,non_reader
270,27.0,0,170.0,male,non_reader
271,94.0,0,177.0,male,non_reader
272,3.0,0,3.0,female,new_user
273,544.0,0,468.0,male,reader
274,166.0,0,247.0,male,non_reader
275,2.0,0,9.0,unknown,non_reader
276,5.0,0,4.0,unknown,non_reader
277,98.0,0,29.0,female,non_reader
278,184.0,0,122.0,female,non_reader
279,138.0,0,309.0,male,non_reader
280,516.0,0,2121.0,male,reader
281,392.0,0,70.0,male,reader
282,429.0,0,113.0,male,non_reader
283,208.0,0,222.0,male,non_reader
286,20.0,0,10.0,female,non_reader
287,4.0,0,10.0,male,non_reader
288,22.0,0,102.0,male,non_reader
289,44.0,0,112.0,female,non_reader
290,108.0,0,108.0,male,non_reader
292,40.0,0,18.0,female,non_reader
293,2.0,0,60.0,unknown,reader
294,48.0,0,145.0,male,non_reader
295,19.0,0,10.0,unknown,new_user
296,5395.0,0,3644.0,female,contributor
297,127.0,0,92.0,unknown,non_reader
298,91.0,0,14.0,male,non_reader
299,71.0,0,104.0,male,non_reader
300,152.0,0,8.0,unknown,non_reader
301,37.0,0,47.0,unknown,non_reader
302,45.0,0,75.0,male,non_reader
303,127.0,0,174.0,unknown,non_reader
304,1149.0,0,7009.0,female,reader
305,17.0,0,11.0,female,non_reader
306,90.0,0,86.0,unknown,non_reader
307,60.0,0,301.0,unknown,reader
308,45.0,0,42.0,female,non_reader
309,37.0,0,59.0,female,non_reader
310,109.0,0,142.0,male,non_reader
311,1146.0,0,826.0,unknown,reader
312,214.0,0,68.0,female,non_reader
313,5.0,0,19.0,female,non_reader
314,13.0,0,1.0,unknown,new_user
315,1871.0,0,1961.0,female,reader
316,105.0,0,112.0,male,non_reader
317,622.0,0,90.0,male,reader
318,7062.0,0,2724.0,female,reader
319,164.0,0,188.0,male,non_reader
323,139.0,0,18.0,female,non_reader
324,10.0,0,199.0,unknown,non_reader
325,4.0,0,8.0,female,non_reader
326,242.0,0,291.0,male,non_reader
327,9.0,0,18.0,male,non_reader
328,28.0,0,66.0,unknown,non_reader
329,71.0,0,285.0,male,reader
330,20.0,0,54.0,female,non_reader
331,17.0,0,21.0,female,non_reader
332,9.0,0,1.0,female,new_user
333,25.0,0,28.0,male,non_reader
334,25.0,0,41.0,unknown,non_reader
335,53.0,0,52.0,male,non_reader
336,44.0,0,63.0,male,non_reader
337,38.0,0,32.0,unknown,non_reader
338,113.0,0,4.0,male,non_reader
339,219.0,0,354.0,male,reader
340,115.0,0,217.0,male,non_reader
341,2.0,0,1.0,female,new_user
342,20.0,0,181.0,male,non_reader
343,564.0,0,505.0,female,reader
344,36.0,0,108.0,male,non_reader
345,88.0,0,67.0,male,non_reader
346,118.0,0,68.0,male,non_reader
347,42.0,0,63.0,male,non_reader
348,92.0,0,24.0,male,non_reader
349,8.0,0,4.0,unknown,new_user
350,17.0,0,22.0,male,non_reader
351,18.0,0,40.0,male,non_reader
352,9.0,0,1.0,male,new_user
353,318.0,0,101.0,male,non_reader
354,22.0,0,32.0,male,non_reader
355,9.0,0,84.0,unknown,non_reader
356,80.0,0,70.0,male,non_reader
357,48.0,0,28.0,female,non_reader
358,515.0,0,561.0,male,reader
359,482.0,0,272.0,male,non_reader
360,19.0,0,39.0,male,non_reader
361,2000.0,0,3369.0,male,contributor
362,16.0,0,4.0,male,non_reader
363,104.0,0,164.0,female,non_reader
364,2.0,0,4.0,male,non_reader
365,786.0,0,2006.0,male,reader
366,3014.0,0,4982.0,female,reader
367,206.0,0,131.0,male,non_reader
368,51.0,0,70.0,male,non_reader
369,646.0,0,1641.0,male,reader
370,118.0,0,265.0,male,non_reader
371,51.0,0,48.0,female,non_reader
373,34.0,0,53.0,female,non_reader
374,9.0,0,2.0,male,new_user
375,130.0,0,122.0,male,non_reader
376,15.0,0,2.0,female,new_user
377,539.0,0,907.0,unknown,non_reader
378,4144.0,0,1994.0,female,contributor
379,156.0,0,58.0,female,non_reader
380,16.0,0,30.0,male,non_reader
382,3.0,0,0.0,male,non_reader
383,68.0,0,75.0,female,reader
384,12.0,0,18.0,male,non_reader
385,88.0,0,57.0,male,non_reader
386,46.0,0,34.0,male,non_reader
387,8503.0,0,9346.0,unknown,reader
388,1055.0,0,1407.0,unknown,reader
389,1701.0,0,835.0,male,non_reader
390,40.0,0,243.0,female,non_reader
391,23.0,0,77.0,male,non_reader
392,83.0,0,47.0,female,non_reader
393,159.0,0,131.0,unknown,non_reader
394,1032.0,0,1172.0,male,contributor
395,14.0,0,15.0,female,non_reader
396,9.0,0,105.0,male,reader
397,372.0,0,906.0,male,non_reader
398,76.0,0,67.0,male,non_reader
399,10.0,0,64.0,male,non_reader
400,198.0,0,67.0,male,non_reader
401,391.0,0,515.0,female,non_reader
402,194.0,0,201.0,male,reader
404,30.0,0,52.0,male,non_reader
405,207.0,0,64.0,male,non_reader
406,64.0,0,22.0,female,non_reader
407,64.0,0,165.0,unknown,non_reader
408,8040.0,0,7659.0,male,contributor
409,2.0,0,18.0,female,non_reader
410,8490.0,0,3249.0,male,reader
411,316.0,0,93.0,male,non_reader
412,55.0,0,14.0,male,non_reader
413,68.0,0,30.0,male,non_reader
414,87.0,0,122.0,male,non_reader
415,18.0,0,21.0,male,non_reader
416,53.0,0,38.0,male,non_reader
417,2835.0,0,2360.0,female,reader
418,29.0,0,24.0,unknown,non_reader
419,1.0,0,14.0,male,non_reader
420,2534.0,0,5025.0,male,contributor
421,146.0,0,198.0,male,non_reader
422,376.0,0,604.0,male,reader
423,1186.0,0,2319.0,male,reader
424,5549.0,0,12974.0,male,contributor
425,5904.0,0,5757.0,unknown,reader
426,1.0,0,41.0,female,non_reader
427,255.0,0,235.0,male,non_reader
429,1386.0,0,1208.0,female,reader
430,11.0,0,80.0,unknown,non_reader
431,2.0,0,27.0,male,non_reader
432,2.0,0,8.0,female,new_user
433,23.0,0,17.0,unknown,non_reader
434,32.0,0,110.0,unknown,non_reader
435,21.0,0,4.0,male,non_reader
436,104.0,0,70.0,female,non_reader
437,26.0,0,205.0,male,non_reader
438,149.0,0,120.0,male,non_reader
439,7783.0,0,70.0,male,non_reader
441,39.0,0,51.0,male,non_reader
442,32.0,0,36.0,male,non_reader
443,85.0,0,63.0,male,non_reader
444,1.0,0,39.0,female,non_reader
445,5337.0,0,6638.0,female,contributor
446,10.0,0,16.0,female,non_reader
447,49.0,0,115.0,male,non_reader
448,1476.0,0,945.0,male,reader
449,4.0,0,6.0,male,non_reader
450,81.0,0,24.0,female,non_reader
451,44.0,0,161.0,female,non_reader
452,21.0,0,13.0,male,non_reader
453,23.0,0,9.0,unknown,non_reader
454,119.0,0,226.0,male,non_reader
455,13.0,0,18.0,male,non_reader
456,18.0,0,40.0,unknown,non_reader
457,2881.0,0,5922.0,unknown,reader
458,71.0,0,8.0,male,non_reader
459,18.0,0,243.0,unknown,non_reader
460,7.0,0,57.0,unknown,non_reader
461,46.0,0,77.0,male,non_reader
462,39.0,0,33.0,male,non_reader
463,15.0,0,1.0,male,new_user
464,215.0,0,34.0,unknown,non_reader
465,13.0,0,30.0,unknown,non_reader
466,5.0,0,16.0,female,non_reader
467,454.0,0,68.0,male,reader
469,588.0,0,2051.0,male,reader
470,51.0,0,71.0,female,non_reader
471,4.0,0,4.0,male,non_reader
472,36.0,0,7.0,male,non_reader
473,107.0,0,118.0,unknown,non_reader
474,54.0,0,12.0,male,non_reader
475,24.0,0,20.0,female,non_reader
476,9.0,0,19.0,female,non_reader
477,125.0,0,322.0,female,non_reader
478,57.0,0,74.0,female,reader
479,359.0,0,210.0,male,non_reader
480,202.0,0,245.0,male,non_reader
481,25.0,0,17.0,male,non_reader
482,5.0,0,27.0,unknown,reader
483,25.0,0,13.0,male,non_reader
484,37.0,0,1.0,male,new_user
485,23.0,0,9.0,male,non_reader
486,179.0,0,288.0,unknown,non_reader
487,11.0,0,20.0,female,non_reader
488,19.0,0,117.0,unknown,non_reader
489,4.0,0,204.0,female,non_reader
490,26.0,0,44.0,male,non_reader
491,67.0,0,80.0,unknown,non_reader
492,111.0,0,137.0,male,non_reader
493,434.0,0,463.0,male,non_reader
494,196.0,0,4237.0,male,contributor
495,34.0,0,49.0,female,non_reader
496,129.0,0,37.0,male,non_reader
497,166.0,0,652.0,unknown,reader
498,15.0,0,30.0,male,non_reader
499,50.0,0,70.0,male,non_reader
500,22.0,0,85.0,female,non_reader
501,5.0,0,21.0,female,non_reader
502,11.0,0,20.0,unknown,non_reader
503,3484.0,0,6901.0,male,contributor
504,12.0,0,19.0,male,non_reader
506,31.0,0,35.0,female,non_reader
507,149.0,0,202.0,male,non_reader
508,74.0,0,26.0,male,non_reader
509,1.0,0,50.0,male,non_reader
510,13.0,0,85.0,male,non_reader
511,42.0,0,58.0,male,non_reader
512,182.0,0,44.0,unknown,non_reader
513,239.0,0,96.0,male,non_reader
514,2471.0,0,3162.0,male,reader
515,789.0,0,228.0,male,contributor
516,62.0,0,25.0,male,non_reader
517,20.0,0,10.0,female,non_reader
518,16.0,0,8.0,male,non_reader
519,1.0,0,11.0,unknown,non_reader
520,173.0,0,65.0,female,reader
521,4.0,0,11.0,female,non_reader
522,38.0,0,72.0,unknown,non_reader
523,46.0,0,276.0,male,non_reader
525,5.0,0,32.0,unknown,non_reader
526,9.0,0,20.0,male,non_reader
527,63.0,0,52.0,male,non_reader
528,15.0,0,12.0,female,non_reader
529,41.0,0,41.0,male,non_reader
530,90.0,0,402.0,female,non_reader
531,193.0,0,177.0,male,non_reader
532,26.0,0,70.0,female,non_reader
533,25.0,0,20.0,male,non_reader
534,59.0,0,235.0,male,non_reader
535,110.0,0,111.0,male,non_reader
536,46.0,0,75.0,male,non_reader
537,230.0,0,292.0,male,non_reader
538,341.0,0,998.0,male,reader
539,4.0,0,27.0,female,non_reader
540,3.0,0,22.0,female,non_reader
541,747.0,0,1556.0,female,non_reader
542,277.0,0,261.0,male,non_reader
543,875.0,0,470.0,male,reader
544,5838.0,0,5360.0,male,reader
545,139.0,0,47.0,unknown,non_reader
546,34.0,0,22.0,female,non_reader
547,91.0,0,122.0,male,non_reader
548,20840.0,0,12732.0,male,reader
549,130.0,0,164.0,male,non_reader
550,507.0,0,216.0,female,reader
551,31.0,0,73.0,unknown,non_reader
552,3.0,0,11.0,female,non_reader
553,354.0,0,2897.0,male,reader
554,27.0,0,4.0,male,non_reader
555,37.0,0,702.0,unknown,contributor
556,7035.0,0,2046.0,male,reader
558,156.0,0,15.0,female,non_reader
559,21.0,0,25.0,male,non_reader
560,51.0,0,111.0,male,non_reader
561,645.0,0,5312.0,female,contributor
562,1.0,0,4.0,male,new_user
563,96.0,0,11.0,unknown,non_reader
564,86.0,0,276.0,female,non_reader
566,157.0,0,230.0,female,reader
567,6.0,0,16.0,female,non_reader
568,102.0,0,17.0,male,non_reader
569,85.0,0,86.0,male,non_reader
570,79.0,0,15.0,female,non_reader
571,133.0,0,131.0,male,non_reader
572,26.0,0,15.0,female,non_reader
573,200.0,0,356.0,female,reader
574,5.0,0,2.0,unknown,new_user
575,398.0,0,804.0,male,non_reader
576,1.0,0,1.0,female,new_user
577,49.0,0,1.0,unknown,new_user
578,153.0,0,71.0,female,reader
579,226.0,0,3480.0,female,reader
580,19.0,0,13.0,unknown,non_reader
581,8.0,0,27.0,unknown,non_reader
582,4.0,0,13.0,male,non_reader
583,16.0,0,17.0,male,non_reader
584,12.0,0,75.0,female,non_reader
585,591.0,0,703.0,male,reader
586,188.0,0,350.0,male,non_reader
587,28.0,0,33.0,male,non_reader
589,70.0,0,134.0,male,non_reader
590,33.0,0,13.0,unknown,non_reader
591,204.0,0,562.0,male,non_reader
592,855.0,0,1134.0,female,reader
593,14.0,0,18.0,unknown,non_reader
594,67.0,0,165.0,female,reader
595,52.0,0,52.0,female,non_reader
596,112.0,0,100.0,male,non_reader
597,57.0,0,91.0,male,non_reader
598,18.0,0,54.0,male,non_reader
599,61.0,0,57.0,male,non_reader
600,10.0,0,387.0,male,non_reader
601,16.0,0,29.0,female,non_reader
602,9.0,0,11.0,unknown,non_reader
603,76.0,0,54.0,male,non_reader
605,207.0,0,247.0,female,non_reader
606,293.0,0,106.0,male,non_reader
607,111.0,0,23.0,male,non_reader
608,826.0,0,488.0,male,non_reader
609,3.0,0,17.0,male,non_reader
610,151.0,0,617.0,male,non_reader
611,81.0,0,78.0,female,non_reader
612,107.0,0,84.0,female,non_reader
613,14.0,0,6.0,female,non_reader
614,63.0,0,130.0,unknown,non_reader
616,5.0,0,2.0,male,non_reader
617,132.0,0,191.0,male,non_reader
618,83.0,0,80.0,female,non_reader
619,4.0,0,79.0,female,non_reader
620,180.0,0,158.0,male,reader
621,233.0,0,103.0,male,non_reader
622,3732.0,0,1241.0,female,reader
623,224.0,0,579.0,male,reader
624,84.0,0,100.0,male,non_reader
625,4.0,0,7.0,male,non_reader
626,11.0,0,19.0,unknown,non_reader
628,32.0,0,29.0,male,non_reader
629,6.0,0,22.0,female,non_reader
630,5.0,0,17.0,male,non_reader
631,59.0,0,201.0,male,reader
632,43.0,0,64.0,male,non_reader
633,136.0,0,79.0,male,reader
635,40.0,0,16.0,male,non_reader
636,32.0,0,60.0,male,non_reader
637,200.0,0,222.0,male,non_reader
638,234.0,0,106.0,female,non_reader
639,162.0,0,260.0,male,reader
640,14.0,0,2.0,male,new_user
641,384.0,0,329.0,male,non_reader
642,12.0,0,30.0,male,non_reader
643,8.0,0,13.0,male,non_reader
644,21.0,0,40.0,male,non_reader
646,7.0,0,2.0,male,new_user
647,35.0,0,30.0,unknown,non_reader
648,13.0,0,18.0,male,non_reader
649,59.0,0,755.0,unknown,non_reader
650,10.0,0,174.0,female,non_reader
651,4.0,0,6.0,male,non_reader
652,23.0,0,18.0,male,non_reader
655,26.0,0,4.0,male,new_user
656,3.0,0,2.0,male,new_user
657,30.0,0,35.0,male,non_reader
658,20.0,0,7.0,male,non_reader
659,49.0,0,10.0,female,non_reader
660,2771.0,0,1735.0,male,reader
662,144.0,0,196.0,male,non_reader
663,70.0,0,47.0,male,non_reader
664,12.0,0,32.0,male,non_reader
665,471.0,0,453.0,unknown,reader
666,28.0,0,144.0,male,non_reader
667,35.0,0,107.0,male,non_reader
668,5429.0,0,4203.0,male,reader
669,32.0,0,24.0,unknown,non_reader
670,5.0,0,22.0,male,non_reader
671,3.0,0,40.0,male,non_reader
672,61.0,0,117.0,male,non_reader
673,179.0,0,69.0,male,non_reader
674,5768.0,0,7698.0,male,reader
675,38.0,0,25.0,female,non_reader
676,244.0,0,357.0,male,non_reader
677,128.0,0,118.0,male,non_reader
678,151.0,0,161.0,male,non_reader
679,73.0,0,39.0,male,non_reader
680,25.0,0,66.0,unknown,non_reader
681,54.0,0,64.0,unknown,non_reader
682,126.0,0,91.0,male,non_reader
683,13376.0,0,12638.0,male,reader
684,11.0,0,36.0,male,non_reader
685,36.0,0,79.0,male,non_reader
686,162.0,0,187.0,male,non_reader
687,111.0,0,79.0,male,non_reader
688,80.0,0,287.0,female,non_reader
689,43.0,0,82.0,female,non_reader
690,101.0,0,276.0,male,non_reader
691,103.0,0,193.0,male,non_reader
692,1167.0,0,678.0,female,non_reader
693,170.0,0,109.0,female,reader
694,10.0,0,24.0,male,non_reader
695,2.0,0,59.0,male,non_reader
697,142.0,0,179.0,unknown,non_reader
698,756.0,0,1725.0,male,reader
699,342.0,0,444.0,male,non_reader
700,7.0,0,68.0,male,non_reader
701,23.0,0,10.0,female,non_reader
702,26.0,0,61.0,male,non_reader
703,13.0,0,73.0,male,non_reader
704,9.0,0,64.0,male,non_reader
705,90.0,0,85.0,female,non_reader
706,4.0,0,3.0,female,new_user
707,1370.0,0,5802.0,unknown,reader
708,63.0,0,57.0,unknown,non_reader
709,388.0,0,860.0,female,reader
710,121.0,0,39.0,male,non_reader
711,35.0,0,43.0,male,non_reader
712,6.0,0,16.0,male,non_reader
713,778.0,0,570.0,female,reader
714,369.0,0,766.0,male,non_reader
715,27.0,0,70.0,male,non_reader
716,25.0,0,54.0,female,non_reader
717,1.0,0,15.0,female,non_reader
718,21.0,0,10.0,male,non_reader
719,7.0,0,9.0,male,non_reader
721,354.0,0,159.0,male,non_reader
722,121.0,0,5.0,male,non_reader
723,23.0,0,36.0,female,non_reader
724,164.0,0,414.0,male,non_reader
725,30.0,0,21.0,male,non_reader
726,76.0,0,45.0,female,reader
727,14.0,0,10.0,female,new_user
728,6.0,0,88.0,female,non_reader
729,53.0,0,90.0,male,non_reader
730,16.0,0,124.0,male,non_reader
731,33.0,0,28.0,female,non_reader
732,926.0,0,746.0,male,reader
733,852.0,0,542.0,male,non_reader
734,27.0,0,14.0,male,non_reader
735,149.0,0,268.0,male,non_reader
736,107.0,0,72.0,female,non_reader
737,18.0,0,48.0,male,non_reader
738,1932.0,0,64.0,male,reader
739,989.0,0,805.0,unknown,non_reader
740,256.0,0,230.0,male,non_reader
741,92.0,0,129.0,male,non_reader
742,54.0,0,42.0,male,non_reader
743,1269.0,0,582.0,male,reader
745,135.0,0,29.0,male,non_reader
746,3.0,0,45.0,male,non_reader
747,302.0,0,362.0,male,reader
748,42.0,0,14.0,male,non_reader
750,16.0,0,3.0,female,new_user
751,9.0,0,15.0,female,non_reader
752,40.0,0,70.0,male,non_reader
753,42.0,0,14.0,unknown,non_reader
754,16.0,0,21.0,male,reader
755,42.0,0,456.0,male,non_reader
757,408.0,0,249.0,female,non_reader
758,87.0,0,83.0,female,non_reader
759,293.0,0,175.0,male,reader
760,106.0,0,14.0,female,non_reader
761,38.0,0,33.0,male,non_reader
762,10.0,0,12.0,male,non_reader
763,18.0,0,1097.0,male,contributor
764,2.0,0,5.0,male,non_reader
765,918.0,0,682.0,male,reader
766,4233.0,0,4047.0,female,reader
767,169.0,0,47.0,male,non_reader
768,342.0,0,603.0,female,non_reader
769,61.0,0,3.0,female,new_user
770,35.0,0,65.0,male,non_reader
771,222.0,0,134.0,female,non_reader
772,275.0,0,2.0,female,new_user
773,639.0,0,23.0,female,non_reader
774,745.0,0,537.0,unknown,non_reader
775,37.0,0,14.0,male,non_reader
776,552.0,0,2842.0,male,reader
777,51.0,0,123.0,male,non_reader
778,28.0,0,80.0,male,non_reader
779,2.0,0,4.0,male,new_user
